segment,dongle,platform,mean_v,max_v,engaged_frac,rlog_url
aebd8f1d4ea16066/00000112--483479fb88--8,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,38.845880502086146,39.687198638916016,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000112--483479fb88/8/rlog.zst
dab4c3d4c55934f5/00000337--ba74a366de--11,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,22.703523894945782,24.054698944091797,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/00000337--ba74a366de/11/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--14,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,15.730013475914797,22.82071876525879,0.6366666666666667,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/14/rlog.zst
059878a793f8f288/00000702--a1330a9fa8--4,059878a793f8f288,VOLKSWAGEN_ID4_MK1,31.747350606918335,34.878597259521484,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/00000702--a1330a9fa8/4/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--40,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,22.887294489542644,26.757383346557617,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/40/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--119,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,36.66754573822021,37.84503936767578,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/119/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--29,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,8.262640303969384,12.055953025817871,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/29/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--19,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/19/rlog.zst
aebd8f1d4ea16066/0000010c--c985ca771f--5,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,38.32174142837525,40.067440032958984,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/0000010c--c985ca771f/5/rlog.zst
dab4c3d4c55934f5/0000033f--e9d08c67d5--12,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,20.788350788752236,22.18084716796875,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033f--e9d08c67d5/12/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--21,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,15.244998506108919,21.883371353149414,0.475,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/21/rlog.zst
059878a793f8f288/000006ef--e7ca067163--21,059878a793f8f288,VOLKSWAGEN_ID4_MK1,31.52677033742269,32.927459716796875,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006ef--e7ca067163/21/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--49,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,22.70998255411784,26.75276756286621,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/49/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--139,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,36.14224176088969,37.93421936035156,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/139/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--8,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,8.07584281845909,19.481828689575195,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/8/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--20,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/20/rlog.zst
aebd8f1d4ea16066/000000d3--d2e901d912--3,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,37.86750026067098,40.1884765625,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/000000d3--d2e901d912/3/rlog.zst
dab4c3d4c55934f5/0000033f--e9d08c67d5--11,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,19.81780968348185,21.666784286499023,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033f--e9d08c67d5/11/rlog.zst
fc76cf2b65550db6/0000006c--a22bb80c53--13,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,15.233357328639055,23.356836318969727,1.0,http://data-fallback.comma.life:8080/fc76cf2b65550db6/0000006c--a22bb80c53/13/rlog.zst
059878a793f8f288/000006f2--66411106b9--8,059878a793f8f288,VOLKSWAGEN_ID4_MK1,31.462220735549927,34.406925201416016,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f2--66411106b9/8/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--50,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,21.92749204317729,24.51647186279297,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/50/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--134,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,35.50074858347575,37.630531311035156,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/134/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--15,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,8.021180423895517,10.920733451843262,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/15/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--21,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/21/rlog.zst
aebd8f1d4ea16066/00000107--0358d3ddb0--8,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,37.76273403803508,39.32358932495117,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000107--0358d3ddb0/8/rlog.zst
dab4c3d4c55934f5/0000033f--e9d08c67d5--9,dab4c3d4c55934f5,VOLKSWAGEN_ID4_MK1,18.28806300163269,21.19804573059082,1.0,http://data-fallback.comma.life:8080/dab4c3d4c55934f5/0000033f--e9d08c67d5/9/rlog.zst
fc76cf2b65550db6/00000004--412fe0b49e--3,fc76cf2b65550db6,VOLKSWAGEN_ID4_MK1,14.714237512998885,22.949796676635742,0.43926788685524126,http://data-fallback.comma.life:8080/fc76cf2b65550db6/00000004--412fe0b49e/3/rlog.zst
059878a793f8f288/000006f7--12e65cb921--8,059878a793f8f288,VOLKSWAGEN_ID4_MK1,31.36937245686849,34.870750427246094,1.0,http://data-fallback.comma.life:8080/059878a793f8f288/000006f7--12e65cb921/8/rlog.zst
63c4d8470902a8e7/00000348--e3cbc5fd26--47,63c4d8470902a8e7,VOLKSWAGEN_ID4_MK1,21.01841661453247,26.596097946166992,1.0,http://data-fallback.comma.life:8080/63c4d8470902a8e7/00000348--e3cbc5fd26/47/rlog.zst
7d96ac8f3155dca8/00000065--39f263064e--122,7d96ac8f3155dca8,VOLKSWAGEN_ID4_MK1,34.094875482167545,34.88101577758789,1.0,http://data-fallback.comma.life:8080/7d96ac8f3155dca8/00000065--39f263064e/122/rlog.zst
81dd9e9fe256c397/0000002f--bff24fca36--28,81dd9e9fe256c397,VOLKSWAGEN_ID4_MK1,7.228630788025524,20.105985641479492,0.0,http://data-fallback.comma.life:8080/81dd9e9fe256c397/0000002f--bff24fca36/28/rlog.zst
862ee7dd767bf07f/0000017f--5b59b519bf--22,862ee7dd767bf07f,VOLKSWAGEN_ID4_MK1,68.265625,68.265625,0.0,http://data-fallback.comma.life:8080/862ee7dd767bf07f/0000017f--5b59b519bf/22/rlog.zst
aebd8f1d4ea16066/00000152--5715fa86f9--7,aebd8f1d4ea16066,VOLKSWAGEN_ID4_MK1,37.73288864771525,39.206153869628906,1.0,http://data-fallback.comma.life:8080/aebd8f1d4ea16066/00000152--5715fa86f9/7/rlog.zst
